GENE_SYMBOL,control,low_dose,high_dose
A930001N09Rik,5.973499999999999,6.004333333333332,5.951999999999999
A930004D18Rik,6.896999999999999,6.351,6.5345
A930005I04Rik,6.487666666666667,6.672999999999999,6.415833333333334
A930006K02Rik,6.166333333333334,6.2105,6.053833333333333
A930018M24Rik,7.296333333333333,7.056166666666667,7.597833333333334
A930018P22Rik,6.128,6.107666666666666,6.2026666666666666
A930033H14Rik,5.7573333333333325,5.790666666666667,5.851
A930038B10Rik,7.763833333333334,8.015333333333334,8.104833333333332
AA960436,7.259833333333333,7.191833333333334,7.181833333333333
AA986860,6.766500000000001,6.496666666666667,6.533333333333334
AA987161,6.085000000000001,6.230833333333333,6.243583333333334
AB010352,7.868833333333332,8.368666666666666,8.144166666666665
AF067063,6.718166666666666,6.812666666666666,6.811499999999999
AF251705,7.659916666666668,7.7495,7.884833333333333
AI118078,5.7375,5.708833333333334,5.7395
AI182371,12.393166666666668,12.357666666666667,12.352000000000002
AI314180,8.401166666666667,8.492875,8.355958333333334
AI314976,10.392166666666668,10.008333333333333,10.133416666666667
AI316807,9.625000000000002,9.338833333333332,9.808833333333332
AI317395,10.343666666666667,10.312,10.416166666666667
AI413582,7.388166666666666,7.318833333333333,7.5584999999999996
AI426330,7.8308333333333335,7.763000000000001,7.7811666666666675
AI428898,8.0395,7.600000000000001,7.830333333333333
AI428936,7.687,8.005666666666665,7.672666666666667
AI462493,13.408666666666669,13.226333333333335,13.465333333333334
AI463229,10.818999999999997,10.720333333333334,10.724166666666667
AI464131,11.441333333333333,11.464166666666666,11.5
AI467606,5.937333333333334,5.861999999999999,6.178
AI597468,9.527,9.691,9.546666666666667
AI597479,8.697000000000001,8.755166666666668,8.7095
AI607873,5.896333333333334,5.949000000000001,5.988500000000001
AI661453,12.120166666666668,11.715000000000002,11.639333333333333
AI837181,8.391166666666667,8.426666666666666,8.486500000000001
AI846148,6.334666666666666,6.162333333333333,6.206
AI848100,6.550166666666667,6.386833333333333,6.396000000000001
AI987944,7.492166666666667,7.697666666666666,7.838333333333334
AK010878,9.733166666666666,9.687833333333334,9.559333333333333
ATP6,14.306666666666667,14.353499999999999,14.270333333333332
AU019823,7.055666666666667,6.919,6.992333333333334
AU021092,5.9606666666666674,5.857666666666667,5.799666666666667
